运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,链路裕量下界（dB）,区间连续性已认证,记录语义
T002,巡航,3546.734183,3802.865476,直连,,0.197015,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T002,下降,3802.865476,3988.564431,直连,,18.993278,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T003,爬升,480.0,552.501702,直连,,27.795552,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T003,巡航,552.501702,816.01403,直连,,0.000709,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T003,巡航,816.01403,1046.587318,中继,R003,0.460052,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T003,下降,1046.587318,1091.314445,中继,R003,0.454167,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T003,交付,1091.314445,1487.314445,中继,R003,0.454167,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T003,爬升,1487.314445,1523.096147,中继,R003,0.454167,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T003,巡航,1523.096147,1753.669434,中继,R003,0.460052,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T003,巡航,1753.669434,2017.181763,直连,,0.000709,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T003,下降,2017.181763,2107.80889,直连,,27.795552,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T004,爬升,450.0,603.70927,直连,,20.717231,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T004,巡航,603.70927,859.971403,直连,,0.211433,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T004,巡航,859.971403,905.96717,中继,R003,7.766715,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T004,下降,905.96717,987.703758,中继,R003,7.74474,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T004,交付,987.703758,1347.703758,中继,R003,7.74474,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T004,爬升,1347.703758,1413.093028,中继,R003,7.74474,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T004,巡航,1413.093028,1459.088795,中继,R003,7.766715,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T004,巡航,1459.088795,1715.350928,直连,,0.211433,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T004,下降,1715.350928,1907.487515,直连,,20.717231,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T005,爬升,360.0,462.645512,直连,,22.75984,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T005,巡航,462.645512,786.530649,直连,,0.130559,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T005,巡航,786.530649,861.273373,中继,R001,1.87384,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T005,下降,861.273373,894.887987,中继,R001,1.813876,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T005,交付,894.887987,1104.887987,中继,R001,1.813876,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T005,爬升,1104.887987,1132.900165,中继,R001,1.813876,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T005,巡航,1132.900165,1207.642889,中继,R001,1.87384,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T005,巡航,1207.642889,1531.528026,直连,,0.130559,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T005,下降,1531.528026,1654.70264,直连,,22.75984,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T006,爬升,360.0,450.493941,直连,,23.935643,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T006,巡航,450.493941,772.08711,直连,,0.19761,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T006,巡航,772.08711,854.546897,中继,R001,0.084097,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T006,下降,854.546897,873.539626,中继,R001,5.729524,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T006,交付,873.539626,1083.539626,中继,R001,5.729524,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T006,爬升,1083.539626,1099.366901,中继,R001,5.729524,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T006,巡航,1099.366901,1181.826688,中继,R001,0.084097,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T006,巡航,1181.826688,1503.419857,直连,,0.19761,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T006,下降,1503.419857,1612.012586,直连,,23.935643,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T007,爬升,1973.0,2052.465946,直连,,25.160808,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T007,巡航,2052.465946,2317.914925,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T007,下降,2317.914925,2338.434061,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T007,交付,2338.434061,2548.434061,直连,,1.870594,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T007,爬升,2548.434061,2565.533341,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T007,巡航,2565.533341,2830.982319,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T007,下降,2830.982319,2926.341455,直连,,25.160808,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T008,爬升,2045.0,2093.452203,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T008,巡航,2093.452203,2347.943893,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T008,下降,2347.943893,2383.566537,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T008,交付,2383.566537,2623.566537,直连,,2.248065,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T008,爬升,2623.566537,2653.252074,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T008,巡航,2653.252074,2907.743763,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T008,下降,2907.743763,2965.886407,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T009,爬升,4566.0,4710.701379,直连,,19.603584,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T009,巡航,4710.701379,4969.362835,直连,,0.120124,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T009,巡航,4969.362835,5194.862566,中继,R004,1.077413,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T009,下降,5194.862566,5284.184221,中继,R004,1.071719,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T009,交付,5284.184221,5524.184221,中继,R004,1.071719,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T009,爬升,5524.184221,5598.618934,中继,R004,1.071719,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T009,巡航,5598.618934,5824.118665,中继,R004,1.077413,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T009,巡航,5824.118665,6082.780121,直连,,0.120124,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T009,下降,6082.780121,6256.421776,直连,,19.603584,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T010,爬升,2428.0,2536.215667,直连,,23.968263,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T010,巡航,2536.215667,2905.466092,直连,,0.201715,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T010,巡航,2905.466092,3050.52876,中继,R005,0.169778,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T010,下降,3050.52876,3135.498343,中继,R005,0.169778,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T010,交付,3135.498343,3531.498343,中继,R005,0.169778,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T010,爬升,3531.498343,3599.474009,中继,R005,0.169778,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T010,巡航,3599.474009,3744.536677,中继,R005,0.169778,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T010,巡航,3744.536677,4113.787103,直连,,0.201715,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T010,下降,4113.787103,4249.056686,直连,,23.968263,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T011,爬升,5754.0,5852.083733,直连,,24.894048,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T011,巡航,5852.083733,6138.008436,直连,,0.13246,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T011,巡航,6138.008436,6390.686081,中继,R006,0.023948,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T011,下降,6390.686081,6441.690748,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T011,交付,6441.690748,6801.690748,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T011,爬升,6801.690748,6842.494481,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T011,巡航,6842.494481,7095.172125,中继,R006,0.023948,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T011,巡航,7095.172125,7381.096829,直连,,0.13246,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T011,下降,7381.096829,7503.701495,直连,,24.894048,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T012,爬升,5734.0,5882.033085,直连,,19.396425,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T012,巡航,5882.033085,6138.159529,直连,,0.20226,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T012,巡航,6138.159529,6282.641113,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T012,下降,6282.641113,6321.560815,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T012,交付,6321.560815,6561.560815,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T012,爬升,6561.560815,6593.9939,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T012,巡航,6593.9939,6738.475484,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T012,巡航,6738.475484,6994.601928,直连,,0.20226,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T012,下降,6994.601928,7172.24163,直连,,19.396425,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T013,爬升,425.0,491.236963,直连,,26.902755,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T013,巡航,491.236963,815.048141,直连,,0.147137,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T013,巡航,815.048141,931.288051,中继,R003,0.212716,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T013,下降,931.288051,983.852406,中继,R003,6.768568,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T013,交付,983.852406,1193.852406,中继,R003,6.768568,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T013,爬升,1193.852406,1237.656036,中继,R003,6.768568,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T013,巡航,1237.656036,1353.895946,中继,R003,0.212716,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T013,巡航,1353.895946,1677.707124,直连,,0.147137,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T013,下降,1677.707124,1757.191479,直连,,26.902755,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T014,爬升,432.0,487.176304,直连,,28.686789,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T014,巡航,487.176304,815.053858,直连,,0.041979,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T014,巡航,815.053858,962.598757,中继,R003,2.820064,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T014,下降,962.598757,987.890322,中继,R003,2.812833,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T014,交付,987.890322,1197.890322,中继,R003,2.812833,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T014,爬升,1197.890322,1218.966626,中继,R003,2.812833,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T014,巡航,1218.966626,1366.511525,中继,R003,2.820064,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T014,巡航,1366.511525,1694.389079,直连,,0.041979,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T014,下降,1694.389079,1760.600644,直连,,28.686789,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T015,爬升,5260.0,5315.887252,直连,,28.560415,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T015,巡航,5315.887252,5549.888204,直连,,2.965805,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T015,下降,5549.888204,5583.192906,直连,,2.965805,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T015,交付,5583.192906,5793.192906,直连,,2.975514,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T015,爬升,5793.192906,5820.946825,直连,,2.965805,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T015,巡航,5820.946825,6054.947777,直连,,2.965805,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T015,下降,6054.947777,6122.012479,直连,,28.560415,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T016,爬升,4289.0,4337.452203,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T016,巡航,4337.452203,4591.943893,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T016,下降,4591.943893,4627.566537,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T016,交付,4627.566537,4837.566537,直连,,2.248065,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T016,爬升,4837.566537,4867.252074,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T016,巡航,4867.252074,5121.743763,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T016,下降,5121.743763,5179.886407,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T017,爬升,3326.0,3374.452203,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T017,巡航,3374.452203,3628.943893,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T017,下降,3628.943893,3664.566537,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T017,交付,3664.566537,3874.566537,直连,,2.248065,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T017,爬升,3874.566537,3904.252074,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T017,巡航,3904.252074,4158.743763,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T017,下降,4158.743763,4216.886407,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T018,爬升,3038.0,3086.452203,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T018,巡航,3086.452203,3340.943893,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T018,下降,3340.943893,3376.566537,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T018,交付,3376.566537,3586.566537,直连,,2.248065,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T018,爬升,3586.566537,3616.252074,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T018,巡航,3616.252074,3870.743763,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T018,下降,3870.743763,3928.886407,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T019,爬升,330.0,378.452203,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T019,巡航,378.452203,582.045555,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T019,下降,582.045555,617.668199,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T019,交付,617.668199,797.668199,直连,,2.248065,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T019,爬升,797.668199,827.353736,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T019,巡航,827.353736,1030.947087,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T019,下降,1030.947087,1089.089731,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T020,爬升,3257.0,3305.452203,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T020,巡航,3305.452203,3559.943893,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T020,下降,3559.943893,3595.566537,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T020,交付,3595.566537,3775.566537,直连,,2.248065,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T020,爬升,3775.566537,3805.252074,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T020,巡航,3805.252074,4059.743763,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T020,下降,4059.743763,4117.886407,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T021,爬升,3050.0,3098.452203,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T021,巡航,3098.452203,3352.943893,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T021,下降,3352.943893,3388.566537,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T021,交付,3388.566537,3568.566537,直连,,2.248065,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T021,爬升,3568.566537,3598.252074,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T021,巡航,3598.252074,3852.743763,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T021,下降,3852.743763,3910.886407,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T022,爬升,1450.0,1498.452203,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T022,巡航,1498.452203,1702.045555,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T022,下降,1702.045555,1737.668199,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T022,交付,1737.668199,1947.668199,直连,,2.248065,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T022,爬升,1947.668199,1977.353736,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T022,巡航,1977.353736,2180.947087,直连,,2.241367,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T022,下降,2180.947087,2239.089731,直连,,29.98283,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T023,爬升,4271.0,4350.465946,直连,,25.160808,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T023,巡航,4350.465946,4615.914925,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T023,下降,4615.914925,4636.434061,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T023,交付,4636.434061,4846.434061,直连,,1.870594,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T023,爬升,4846.434061,4863.533341,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T023,巡航,4863.533341,5128.982319,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T023,下降,5128.982319,5224.341455,直连,,25.160808,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T024,爬升,2600.0,2679.465946,直连,,25.160808,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T024,巡航,2679.465946,2891.825129,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T024,下降,2891.825129,2912.344265,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T024,交付,2912.344265,3122.344265,直连,,1.870594,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T024,爬升,3122.344265,3139.443545,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T024,巡航,3139.443545,3351.802728,直连,,1.862162,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T024,下降,3351.802728,3447.161864,直连,,25.160808,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T025,爬升,6617.0,6677.418085,直连,,27.795552,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T025,巡航,6677.418085,6940.930413,直连,,0.000709,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T025,巡航,6940.930413,7171.503701,中继,R007,0.460052,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T025,下降,7171.503701,7207.285403,中继,R007,0.454167,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T025,交付,7207.285403,7417.285403,中继,R007,0.454167,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T025,爬升,7417.285403,7447.103487,中继,R007,0.454167,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T025,巡航,7447.103487,7677.676775,中继,R007,0.460052,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T025,巡航,7677.676775,7941.189103,直连,,0.000709,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T025,下降,7941.189103,8013.690805,直连,,27.795552,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T026,爬升,5670.0,5814.701379,直连,,19.603584,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T026,巡航,5814.701379,6138.028199,直连,,0.120124,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T026,巡航,6138.028199,6419.902863,中继,R006,0.019864,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T026,下降,6419.902863,6509.224518,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T026,交付,6509.224518,6719.224518,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T026,爬升,6719.224518,6793.659231,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T026,巡航,6793.659231,7075.533894,中继,R006,0.019864,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T026,巡航,7075.533894,7398.860714,直连,,0.120124,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T026,下降,7398.860714,7572.50237,直连,,19.603584,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T027,爬升,5706.0,5879.641655,直连,,19.603584,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T027,巡航,5879.641655,6138.303111,直连,,0.120124,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T027,巡航,6138.303111,6363.802842,中继,R006,0.019864,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T027,下降,6363.802842,6475.454911,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T027,交付,6475.454911,6763.454911,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T027,爬升,6763.454911,6852.776566,中继,R006,2.592596,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T027,巡航,6852.776566,7078.276297,中继,R006,0.019864,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T027,巡航,7078.276297,7336.937753,直连,,0.120124,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T027,下降,7336.937753,7553.989822,直连,,19.603584,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T028,爬升,4233.0,4335.645512,直连,,22.75984,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T028,巡航,4335.645512,4594.753621,直连,,0.130559,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T028,巡航,4594.753621,4654.5478,中继,R008,4.298147,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T028,下降,4654.5478,4688.162415,中继,R008,4.290042,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T028,交付,4688.162415,4868.162415,中继,R008,4.290042,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T028,爬升,4868.162415,4896.174593,中继,R008,4.290042,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T028,巡航,4896.174593,4955.968772,中继,R008,4.298147,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T028,巡航,4955.968772,5215.076882,直连,,0.130559,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T028,下降,5215.076882,5338.251496,直连,,22.75984,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T029,爬升,6528.0,6618.493941,直连,,23.935643,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T029,巡航,6618.493941,6940.08711,直连,,0.19761,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T029,巡航,6940.08711,7022.546897,中继,R007,1.12095,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
