货箱编号,架次编号,服务区编号,交付完成时刻（s）,物资类型,是否首批保障,首批截止时间（s）,期望送达时间（s）,硬截止时间（s）,延迟（s）,应急优先系数,硬约束满足
S003-WAT-02,T026,S003,6719.224518,饮用水,否,,7200.0,,0,10.0,是
S003-WAT-03,T027,S003,6763.454911,饮用水,否,,7200.0,,0,10.0,是
S003-WAT-04,T027,S003,6763.454911,饮用水,否,,7200.0,,0,10.0,是
S003-FOD-01,T026,S003,6719.224518,应急食品,否,,10800.0,,0,8.0,是
S003-FOD-02,T009,S003,5524.184221,应急食品,否,,10800.0,,0,8.0,是
S003-HYG-01,T027,S003,6763.454911,生活卫生用品,否,,14400.0,,0,6.0,是
S004-MED-01,T010,S004,3531.498343,医疗物资,是,7200.0,7200.0,7200.0,0,20.0,是
S004-WAT-01,T010,S004,3531.498343,饮用水,是,7200.0,7200.0,7200.0,0,10.0,是
S004-WAT-02,T010,S004,3531.498343,饮用水,否,,7200.0,,0,10.0,是
S004-WAT-03,T010,S004,3531.498343,饮用水,否,,7200.0,,0,10.0,是
S004-FOD-01,T010,S004,3531.498343,应急食品,否,,10800.0,,0,8.0,是
S004-HYG-01,T010,S004,3531.498343,生活卫生用品,否,,14400.0,,0,6.0,是
S005-MED-01,T013,S005,1193.852406,医疗物资,是,10800.0,10800.0,10800.0,0,16.0,是
S005-WAT-01,T013,S005,1193.852406,饮用水,是,10800.0,10800.0,10800.0,0,8.0,是
S005-WAT-02,T031,S005,8745.23067,饮用水,否,,10800.0,,0,8.0,是
S005-WAT-03,T031,S005,8745.23067,饮用水,否,,10800.0,,0,8.0,是
S005-FOD-01,T031,S005,8745.23067,应急食品,否,,14400.0,,0,6.0,是
S005-HYG-01,T031,S005,8745.23067,生活卫生用品,否,,18000.0,,0,4.0,是
S006-MED-01,T007,S006,2548.434061,医疗物资,是,3600.0,3600.0,3600.0,0,24.0,是
S006-WAT-01,T007,S006,2548.434061,饮用水,是,3600.0,3600.0,3600.0,0,12.0,是
S006-WAT-02,T023,S006,4846.434061,饮用水,否,,3600.0,,1246.434061,12.0,是
S006-WAT-03,T024,S006,3122.344265,饮用水,否,,3600.0,,0,12.0,是
S006-FOD-01,T023,S006,4846.434061,应急食品,否,,7200.0,,0,10.0,是
S006-HYG-01,T024,S006,3122.344265,生活卫生用品,否,,10800.0,,0,8.0,是
S007-MED-01,T004,S007,1347.703758,医疗物资,是,3600.0,3600.0,3600.0,0,24.0,是
S007-WAT-01,T004,S007,1347.703758,饮用水,是,3600.0,3600.0,3600.0,0,12.0,是
S007-WAT-02,T004,S007,1347.703758,饮用水,否,,3600.0,,0,12.0,是
S007-FOD-01,T004,S007,1347.703758,应急食品,否,,7200.0,,0,10.0,是
S007-HYG-01,T004,S007,1347.703758,生活卫生用品,否,,10800.0,,0,8.0,是
S008-MED-01,T011,S008,6801.690748,医疗物资,是,7200.0,7200.0,7200.0,0,20.0,是
S008-WAT-01,T011,S008,6801.690748,饮用水,是,7200.0,7200.0,7200.0,0,10.0,是
S008-WAT-02,T011,S008,6801.690748,饮用水,否,,7200.0,,0,10.0,是
S008-FOD-01,T011,S008,6801.690748,应急食品,否,,10800.0,,0,8.0,是
S008-HYG-01,T011,S008,6801.690748,生活卫生用品,否,,14400.0,,0,6.0,是
S009-MED-01,T014,S009,1197.890322,医疗物资,是,10800.0,10800.0,10800.0,0,16.0,是
S009-WAT-01,T014,S009,1197.890322,饮用水,是,10800.0,10800.0,10800.0,0,8.0,是
S009-FOD-01,T032,S009,7407.890322,应急食品,否,,14400.0,,0,6.0,是
S010-MED-01,T005,S010,1104.887987,医疗物资,是,3600.0,3600.0,3600.0,0,24.0,是
S010-WAT-01,T005,S010,1104.887987,饮用水,是,3600.0,3600.0,3600.0,0,12.0,是
S010-FOD-01,T028,S010,4868.162415,应急食品,否,,7200.0,,0,10.0,是
S011-MED-01,T015,S011,5793.192906,医疗物资,是,10800.0,10800.0,10800.0,0,16.0,是
S011-WAT-01,T015,S011,5793.192906,饮用水,是,10800.0,10800.0,10800.0,0,8.0,是
S011-FOD-01,T033,S011,7600.192906,应急食品,否,,14400.0,,0,6.0,是
S012-MED-01,T001,S012,1271.278413,医疗物资,是,3600.0,7200.0,3600.0,0,22.0,是
S012-WAT-01,T001,S012,1271.278413,饮用水,是,3600.0,3600.0,3600.0,0,12.0,是
S012-FOD-01,T001,S012,1271.278413,应急食品,否,,7200.0,,0,10.0,是
S013-MED-01,T006,S013,1083.539626,医疗物资,是,3600.0,3600.0,3600.0,0,24.0,是
S013-WAT-01,T006,S013,1083.539626,饮用水,是,3600.0,3600.0,3600.0,0,12.0,是
S013-FOD-01,T029,S013,7221.539626,应急食品,否,,7200.0,,21.539626,10.0,是
S014-MED-01,T002,S014,3361.338882,医疗物资,是,3600.0,7200.0,3600.0,0,22.0,是
S014-WAT-01,T002,S014,3361.338882,饮用水,是,3600.0,3600.0,3600.0,0,12.0,是
S014-FOD-01,T002,S014,3361.338882,应急食品,否,,7200.0,,0,10.0,是
S015-MED-01,T012,S015,6561.560815,医疗物资,是,7200.0,7200.0,7200.0,0,18.0,是
S015-WAT-01,T012,S015,6561.560815,饮用水,是,10800.0,10800.0,10800.0,0,8.0,是
S015-FOD-01,T012,S015,6561.560815,应急食品,否,,14400.0,,0,6.0,是
