K,候选编号,分组,资源总件数,库存缺口总件数,工作量CV,货箱数CV,是否Pareto,是否资源优先选择,是否均衡优先选择,A型运输无人机需求,B型运输无人机需求,C型运输无人机需求,A型电池组需求,B型电池组需求,C型电池组需求,中继无人机需求,中继能源组件需求,A型运输无人机缺口,B型运输无人机缺口,C型运输无人机缺口,A型电池组缺口,B型电池组缺口,C型电池组缺口,中继无人机缺口,中继能源组件缺口
2,K2-011,"G1:S001,S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G2:S004,S011,S014",37,8,0.703220525,0.7,0,0,0,5,3,3,8,5,4,4,5,1,1,1,2,1,0,2,0
2,K2-012,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S014,S015 | G2:S004,S006",33,5,0.759995806,0.7,1,0,0,5,3,3,6,5,4,3,4,1,1,1,0,1,0,1,0
2,K2-013,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G2:S004,S006,S014",37,8,0.660521216,0.625,1,0,0,5,4,3,6,6,4,4,5,1,2,1,0,2,0,2,0
2,K2-014,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G2:S004,S006,S011",35,7,0.689782793,0.625,1,0,0,6,3,3,7,5,4,3,4,2,1,1,1,1,0,1,0
2,K2-015,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S004,S006,S011,S014",39,10,0.590308203,0.55,1,0,0,6,4,3,7,6,4,4,5,2,2,1,1,2,0,2,0
2,K2-016,"G1:S001,S004,S006,S011,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015",45,16,0.270041721,0.175,1,0,1,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
2,K2-017,"G1:S001,S004,S006,S011 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015",41,13,0.369516311,0.25,1,0,0,8,3,3,10,6,4,3,4,4,1,1,4,2,0,1,0
2,K2-018,"G1:S001,S004,S006,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015",46,17,0.340254734,0.25,0,0,0,8,4,3,11,7,4,4,5,4,2,1,5,3,0,2,0
2,K2-019,"G1:S001,S004,S006 | G2:S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S014,S015",42,14,0.439729324,0.325,0,0,0,8,3,3,11,6,4,3,4,4,1,1,5,2,0,1,0
2,K2-020,"G1:S001,S004,S011,S014 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015",45,16,0.382954043,0.325,0,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
2,K2-021,"G1:S001,S004,S011 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015",41,13,0.482428633,0.4,0,0,0,8,3,3,10,6,4,3,4,4,1,1,4,2,0,1,0
2,K2-022,"G1:S001,S004,S014 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015",45,16,0.453167056,0.4,0,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
2,K2-023,"G1:S001,S004 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015",41,13,0.552641646,0.475,0,0,0,8,3,3,10,6,4,3,4,4,1,1,4,2,0,1,0
2,K2-024,"G1:S001,S006,S011,S014 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015",41,14,0.397133593,0.325,0,0,0,8,4,2,10,7,3,3,4,4,2,0,4,3,0,1,0
2,K2-025,"G1:S001,S006,S011 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S014,S015",38,11,0.496608183,0.4,1,0,0,8,3,2,10,6,3,2,4,4,1,0,4,2,0,0,0
2,K2-026,"G1:S001,S006,S014 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S011,S012,S013,S015",42,15,0.467346606,0.4,0,0,0,8,4,2,11,7,3,3,4,4,2,0,5,3,0,1,0
2,K2-027,"G1:S001,S006 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S011,S012,S013,S014,S015",39,12,0.566821196,0.475,0,0,0,8,3,2,11,6,3,2,4,4,1,0,5,2,0,0,0
2,K2-028,"G1:S001,S011,S014 | G2:S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S015",41,14,0.510045915,0.475,0,0,0,8,4,2,10,7,3,3,4,4,2,0,4,3,0,1,0
2,K2-029,"G1:S001,S011 | G2:S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015",38,11,0.609520505,0.55,0,0,0,8,3,2,10,6,3,2,4,4,1,0,4,2,0,0,0
2,K2-030,"G1:S001,S014 | G2:S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015",41,14,0.580258928,0.55,0,0,0,8,4,2,10,7,3,3,4,4,2,0,4,3,0,1,0
2,K2-031,"G1:S001 | G2:S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015",38,11,0.679733518,0.625,0,0,0,8,3,2,10,6,3,2,4,4,1,0,4,2,0,0,0
3,K3-001,"G1:S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G2:S011 | G3:S014",33,6,1.23436275,1.255114537,0,0,0,5,3,2,8,5,3,3,4,1,1,0,2,1,0,1,0
3,K3-002,"G1:S001,S002,S003,S004,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G2:S006 | G3:S014",33,6,1.188971701,1.176461857,0,0,0,5,4,2,6,6,3,3,4,1,2,0,0,2,0,1,0
3,K3-003,"G1:S001,S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S006,S011 | G3:S014",35,8,1.115647716,1.099857945,0,0,0,6,4,2,7,6,3,3,4,2,2,0,1,2,0,1,0
3,K3-004,"G1:S001,S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G2:S006 | G3:S011",33,6,1.220259996,1.176461857,0,0,0,6,3,2,8,5,3,2,4,2,1,0,2,1,0,0,0
3,K3-005,"G1:S001,S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S006,S014 | G3:S011",36,9,1.117866636,1.099857945,0,0,0,6,4,2,8,6,3,3,4,2,2,0,2,2,0,1,0
3,K3-006,"G1:S001,S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S006 | G3:S011,S014",36,9,1.11501326,1.096015511,0,0,0,6,4,2,8,6,3,3,4,2,2,0,2,2,0,1,0
3,K3-007,"G1:S001,S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015 | G2:S004 | G3:S014",34,5,1.174025357,1.176461857,0,0,0,4,3,3,6,5,4,4,5,0,1,1,0,1,0,2,0
3,K3-008,"G1:S001,S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G2:S004,S011 | G3:S014",37,8,1.101062408,1.099857945,0,0,0,5,3,3,8,5,4,4,5,1,1,1,2,1,0,2,0
3,K3-009,"G1:S001,S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015 | G2:S004 | G3:S011",33,5,1.205443452,1.176461857,0,0,0,5,2,3,8,4,4,3,4,1,0,1,2,0,0,1,0
3,K3-010,"G1:S001,S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G2:S004,S014 | G3:S011",37,8,1.103592674,1.099857945,0,0,0,5,3,3,8,5,4,4,5,1,1,1,2,1,0,2,0
3,K3-011,"G1:S001,S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G2:S004 | G3:S011,S014",37,8,1.099740782,1.096015511,0,0,0,5,3,3,8,5,4,4,5,1,1,1,2,1,0,2,0
3,K3-012,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G2:S004,S006 | G3:S014",37,8,1.057648778,1.025761912,0,0,0,5,4,3,6,6,4,4,5,1,2,1,0,2,0,2,0
3,K3-013,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S004,S006,S011 | G3:S014",39,10,0.988133376,0.954757823,0,0,0,6,4,3,7,6,4,4,5,2,2,1,1,2,0,2,0
3,K3-014,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G2:S004,S006 | G3:S011",36,8,1.090148305,1.025761912,0,0,0,6,3,3,8,5,4,3,4,2,1,1,2,1,0,1,0
3,K3-015,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S004,S006,S014 | G3:S011",40,11,0.993449506,0.954757823,0,0,0,6,4,3,8,6,4,4,5,2,2,1,2,2,0,2,0
3,K3-016,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S004,S006 | G3:S011,S014",40,11,0.980615652,0.941408519,0,0,0,6,4,3,8,6,4,4,5,2,2,1,2,2,0,2,0
3,K3-017,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S014,S015 | G2:S004 | G3:S006",33,5,1.159683181,1.096015511,1,1,0,5,3,3,6,5,4,3,4,1,1,1,0,1,0,1,0
3,K3-018,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G2:S004,S014 | G3:S006",37,8,1.05643703,1.017503071,0,0,0,5,4,3,6,6,4,4,5,1,2,1,0,2,0,2,0
3,K3-019,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G2:S004 | G3:S006,S014",37,8,1.05543519,1.017503071,1,0,0,5,4,3,6,6,4,4,5,1,2,1,0,2,0,2,0
3,K3-020,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G2:S004,S011 | G3:S006",36,8,1.086408406,1.017503071,0,0,0,6,3,3,8,5,4,3,4,2,1,1,2,1,0,1,0
3,K3-021,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S004,S011,S014 | G3:S006",40,11,0.986118945,0.941408519,0,0,0,6,4,3,8,6,4,4,5,2,2,1,2,2,0,2,0
3,K3-022,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S004,S011 | G3:S006,S014",40,11,0.979713325,0.936916485,1,0,0,6,4,3,8,6,4,4,5,2,2,1,2,2,0,2,0
3,K3-023,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G2:S004 | G3:S006,S011",35,7,1.085720885,1.017503071,1,0,0,6,3,3,7,5,4,3,4,2,1,1,1,1,0,1,0
3,K3-024,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S004,S014 | G3:S006,S011",39,10,0.980030904,0.936916485,1,0,0,6,4,3,7,6,4,4,5,2,2,1,1,2,0,2,0
3,K3-025,"G1:S001,S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S004 | G3:S006,S011,S014",39,10,0.984287271,0.941408519,0,0,0,6,4,3,7,6,4,4,5,2,2,1,1,2,0,2,0
3,K3-026,"G1:S001,S004,S006,S011 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S014",45,16,0.717849662,0.679383912,0,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
3,K3-027,"G1:S001,S004,S006 | G2:S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S014",46,17,0.768154205,0.719591898,0,0,0,8,4,3,11,7,4,4,5,4,2,1,5,3,0,2,0
3,K3-028,"G1:S001,S004,S006,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S011",48,19,0.734778703,0.679383912,0,0,0,9,4,3,12,7,4,4,5,5,2,1,6,3,0,2,0
3,K3-029,"G1:S001,S004,S006 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S011",44,16,0.803620568,0.719591898,0,0,0,9,3,3,12,6,4,3,4,5,1,1,6,2,0,1,0
3,K3-030,"G1:S001,S004,S006 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S011,S014",48,19,0.683211032,0.627743976,0,0,0,9,4,3,12,7,4,4,5,5,2,1,6,3,0,2,0
3,K3-031,"G1:S001,S004,S011 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G3:S014",45,16,0.801718716,0.768724593,0,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
3,K3-032,"G1:S001,S004 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S014",45,16,0.860981642,0.825189372,0,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
3,K3-033,"G1:S001,S004,S014 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G3:S011",48,19,0.813872543,0.768724593,0,0,0,9,4,3,12,7,4,4,5,5,2,1,6,3,0,2,0
3,K3-034,"G1:S001,S004 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S011",44,16,0.89553923,0.825189372,0,0,0,9,3,3,12,6,4,3,4,5,1,1,6,2,0,1,0
3,K3-035,"G1:S001,S004 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G3:S011,S014",48,19,0.778533203,0.735059521,0,0,0,9,4,3,12,7,4,4,5,5,2,1,6,3,0,2,0
3,K3-036,"G1:S001,S004,S011,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S006",48,19,0.710546029,0.627743976,0,0,0,9,5,3,10,8,4,4,5,5,3,1,4,4,0,2,0
3,K3-037,"G1:S001,S004,S011 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S006",44,16,0.785590975,0.677310859,0,0,0,9,4,3,10,7,4,3,4,5,2,1,4,3,0,1,0
3,K3-038,"G1:S001,S004,S011 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S006,S014",48,19,0.666705123,0.586035408,0,0,0,9,5,3,10,8,4,4,5,5,3,1,4,4,0,2,0
3,K3-039,"G1:S001,S004,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S006",49,20,0.762262199,0.677310859,0,0,0,9,5,3,11,8,4,4,5,5,3,1,5,4,0,2,0
3,K3-040,"G1:S001,S004 | G2:S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S014,S015 | G3:S006",45,17,0.845147568,0.735059521,0,0,0,9,4,3,11,7,4,3,4,5,2,1,5,3,0,1,0
3,K3-041,"G1:S001,S004 | G2:S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S006,S014",49,20,0.728793755,0.645416532,0,0,0,9,5,3,11,8,4,4,5,5,3,1,5,4,0,2,0
3,K3-042,"G1:S001,S004,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S006,S011",50,21,0.677624784,0.586035408,0,0,0,10,5,3,11,8,4,4,5,6,3,1,5,4,0,2,0
3,K3-043,"G1:S001,S004 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S006,S011",46,18,0.762843027,0.645416532,0,0,0,10,4,3,11,7,4,3,4,6,2,1,5,3,0,1,0
3,K3-044,"G1:S001,S004 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S006,S011,S014",50,21,0.647880113,0.556495732,0,0,0,10,5,3,11,8,4,4,5,6,3,1,5,4,0,2,0
3,K3-045,"G1:S001,S006,S011 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S014",41,14,0.813302278,0.768724593,0,0,0,8,4,2,10,7,3,3,4,4,2,0,4,3,0,1,0
3,K3-046,"G1:S001,S006 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S014",42,15,0.873489468,0.825189372,0,0,0,8,4,2,11,7,3,3,4,4,2,0,5,3,0,1,0
3,K3-047,"G1:S001,S006,S014 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S011",44,17,0.824908381,0.768724593,0,0,0,9,4,2,12,7,3,3,4,5,2,0,6,3,0,1,0
3,K3-048,"G1:S001,S006 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S011",41,14,0.907913734,0.825189372,0,0,0,9,3,2,12,6,3,2,4,5,1,0,6,2,0,0,0
3,K3-049,"G1:S001,S006 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S011,S014",44,17,0.791400674,0.735059521,0,0,0,9,4,2,12,7,3,3,4,5,2,0,6,3,0,1,0
3,K3-050,"G1:S001,S011 | G2:S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G3:S014",41,14,0.91211626,0.887588024,0,0,0,8,4,2,10,7,3,3,4,4,2,0,4,3,0,1,0
3,K3-051,"G1:S001 | G2:S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S014",41,14,0.978398216,0.954757823,0,0,0,8,4,2,10,7,3,3,4,4,2,0,4,3,0,1,0
3,K3-052,"G1:S001,S014 | G2:S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G3:S011",44,17,0.919789827,0.887588024,0,0,0,9,4,2,12,7,3,3,4,5,2,0,6,3,0,1,0
3,K3-053,"G1:S001 | G2:S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S011",41,14,1.011702801,0.954757823,0,0,0,9,3,2,12,6,3,2,4,5,1,0,6,2,0,0,0
3,K3-054,"G1:S001 | G2:S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G3:S011,S014",44,17,0.899278809,0.868367722,0,0,0,9,4,2,12,7,3,3,4,5,2,0,6,3,0,1,0
3,K3-055,"G1:S001,S011,S014 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S006",44,17,0.808449044,0.735059521,0,0,0,9,5,2,10,8,3,3,4,5,3,0,4,4,0,1,0
3,K3-056,"G1:S001,S011 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S006",41,14,0.896545934,0.799218368,0,0,0,9,4,2,10,7,3,2,4,5,2,0,4,3,0,0,0
3,K3-057,"G1:S001,S011 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S006,S014",44,17,0.782415194,0.711732042,0,0,0,9,5,2,10,8,3,3,4,5,3,0,4,4,0,1,0
3,K3-058,"G1:S001,S014 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S006",45,18,0.869786392,0.799218368,0,0,0,9,5,2,11,8,3,3,4,5,3,0,5,4,0,1,0
3,K3-059,"G1:S001 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S011,S012,S013,S014,S015 | G3:S006",42,15,0.96316476,0.868367722,0,0,0,9,4,2,11,7,3,2,4,5,2,0,5,3,0,0,0
3,K3-060,"G1:S001 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S006,S014",45,18,0.851814922,0.78322251,0,0,0,9,5,2,11,8,3,3,4,5,3,0,5,4,0,1,0
3,K3-061,"G1:S001,S014 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S006,S011",46,19,0.788209871,0.711732042,0,0,0,10,5,2,11,8,3,3,4,6,3,0,5,4,0,1,0
3,K3-062,"G1:S001 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S006,S011",43,16,0.884282857,0.78322251,0,0,0,10,4,2,11,7,3,2,4,6,2,0,5,3,0,0,0
3,K3-063,"G1:S001 | G2:S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S006,S011,S014",46,19,0.775120449,0.69977675,0,0,0,10,5,2,11,8,3,3,4,6,3,0,5,4,0,1,0
3,K3-064,"G1:S001,S006,S011,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S004",45,16,0.703174705,0.627743976,0,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
3,K3-065,"G1:S001,S006,S011 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S004",41,13,0.780287091,0.677310859,1,0,0,8,3,3,10,6,4,3,4,4,1,1,4,2,0,1,0
3,K3-066,"G1:S001,S006,S011 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S004,S014",45,16,0.662047009,0.586035408,1,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
3,K3-067,"G1:S001,S006,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S004",46,17,0.756383534,0.677310859,0,0,0,8,4,3,11,7,4,4,5,4,2,1,5,3,0,2,0
3,K3-068,"G1:S001,S006 | G2:S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S014,S015 | G3:S004",42,14,0.841107936,0.735059521,0,0,0,8,3,3,11,6,4,3,4,4,1,1,5,2,0,1,0
3,K3-069,"G1:S001,S006 | G2:S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S004,S014",46,17,0.725564775,0.645416532,0,0,0,8,4,3,11,7,4,4,5,4,2,1,5,3,0,2,0
3,K3-070,"G1:S001,S006,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S004,S011",48,19,0.672116896,0.586035408,0,0,0,9,4,3,12,7,4,4,5,5,2,1,6,3,0,2,0
3,K3-071,"G1:S001,S006 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S004,S011",44,16,0.759349073,0.645416532,0,0,0,9,3,3,12,6,4,3,4,5,1,1,6,2,0,1,0
3,K3-072,"G1:S001,S006 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S004,S011,S014",48,19,0.645403695,0.556495732,0,0,0,9,4,3,12,7,4,4,5,5,2,1,6,3,0,2,0
3,K3-073,"G1:S001,S011,S014 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G3:S004",45,16,0.791566122,0.735059521,0,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
3,K3-074,"G1:S001,S011 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S004",41,13,0.88015108,0.799218368,0,0,0,8,3,3,10,6,4,3,4,4,1,1,4,2,0,1,0
3,K3-075,"G1:S001,S011 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G3:S004,S014",45,16,0.766339586,0.711732042,0,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
3,K3-076,"G1:S001,S014 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S004",45,16,0.853242083,0.799218368,0,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
3,K3-077,"G1:S001 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015 | G3:S004",41,13,0.947134775,0.868367722,0,0,0,8,3,3,10,6,4,3,4,4,1,1,4,2,0,1,0
3,K3-078,"G1:S001 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S004,S014",45,16,0.836180665,0.78322251,0,0,0,8,4,3,10,7,4,4,5,4,2,1,4,3,0,2,0
3,K3-079,"G1:S001,S014 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G3:S004,S011",48,19,0.771851833,0.711732042,0,0,0,9,4,3,12,7,4,4,5,5,2,1,6,3,0,2,0
3,K3-080,"G1:S001 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S004,S011",44,16,0.868516474,0.78322251,0,0,0,9,3,3,12,6,4,3,4,5,1,1,6,2,0,1,0
3,K3-081,"G1:S001 | G2:S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G3:S004,S011,S014",48,19,0.759873622,0.69977675,0,0,0,9,4,3,12,7,4,4,5,5,2,1,6,3,0,2,0
3,K3-082,"G1:S001,S011,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S004,S006",48,19,0.658025261,0.556495732,0,0,0,9,5,3,10,8,4,4,5,5,3,1,4,4,0,2,0
3,K3-083,"G1:S001,S011 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G3:S004,S006",44,16,0.751158027,0.6254998,1,0,0,9,4,3,10,7,4,3,4,5,2,1,4,3,0,1,0
3,K3-084,"G1:S001,S011 | G2:S002,S003,S005,S007,S008,S009,S010,S012,S013,S015 | G3:S004,S006,S014",48,19,0.640737497,0.541121521,1,0,1,9,5,3,10,8,4,4,5,5,3,1,4,4,0,2,0
3,K3-085,"G1:S001,S014 | G2:S002,S003,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G3:S004,S006",49,20,0.722876545,0.6254998,0,0,0,9,5,3,11,8,4,4,5,5,3,1,5,4,0,2,0
