资源类别,机型编号,资源编号,架次编号,准备开始（s）,起飞时刻（s）,返回O01时刻（s）,下次可用时刻（s）,返航后充电时间（s）,架次能耗（kWh）,返航SOC,占用区间口径
共享电池,C,BAT-C-02,T013,3099,3579,5400.0566857,7899.79273221,2499.73604652,6.15287155637,0.230891055453,"[开始,可用)"
共享电池,C,BAT-C-03,T009,1562,2042,3056.15860144,4700.81626348,1644.65766204,2.99565905984,0.62554261752,"[开始,可用)"
共享电池,C,BAT-C-03,T021,5401,5881,7278.19134017,9255.02434196,1976.83300179,4.22215262199,0.472230922251,"[开始,可用)"
共享电池,C,BAT-C-04,T003,1908,2388,4015.80888985,6550.1821246,2534.37323475,6.28076271291,0.214904660886,"[开始,可用)"
运输无人机,A,U01,T008,0,390,1310.88640722,1310.88640722,0,1.2642900648,0.719046652267,"[开始,可用)"
运输无人机,A,U01,T005,1311,1671,2965.70264036,2965.70264036,0,1.95444980339,0.565677821469,"[开始,可用)"
运输无人机,A,U01,T017,3091,3451,5059.54564395,5059.54564395,0,2.47185805743,0.45069820946,"[开始,可用)"
运输无人机,A,U02,T011,0,360,1250.88640722,1250.88640722,0,1.28228962642,0.715046749685,"[开始,可用)"
运输无人机,A,U02,T019,1251,1581,2803.01258633,2803.01258633,0,1.87098417879,0.584225738047,"[开始,可用)"
运输无人机,A,U02,T026,2840,3170,4468.60064398,4468.60064398,0,2.15799413368,0.520445748071,"[开始,可用)"
运输无人机,A,U03,T022,0,360,1688.60064398,1688.60064398,0,2.25476966012,0.498940075529,"[开始,可用)"
运输无人机,A,U03,T006,2122,2482,3734.01258633,3734.01258633,0,1.95768586529,0.564958696602,"[开始,可用)"
运输无人机,A,U03,T018,3844,4174,5438.70264036,5438.70264036,0,1.86754680032,0.58498959993,"[开始,可用)"
运输无人机,A,U04,T025,0,330,1908.54564395,1908.54564395,0,2.36073972051,0.475391173219,"[开始,可用)"
运输无人机,A,U04,T010,2177,2537,3427.88640722,3427.88640722,0,1.28228962642,0.715046749685,"[开始,可用)"
运输无人机,B,U05,T002,0,390,1869.56443074,1869.56443074,0,2.13980333787,0.465049165533,"[开始,可用)"
运输无人机,B,U05,T023,1870,2230,3019.08973141,3019.08973141,0,0.989842906832,0.752539273292,"[开始,可用)"
运输无人机,B,U05,T015,3020,3380,4921.83171776,4921.83171776,0,2.76340644405,0.309148388987,"[开始,可用)"
运输无人机,B,U05,T014,4922,5312,6883.83171776,6883.83171776,0,2.97518018481,0.256204953798,"[开始,可用)"
运输无人机,B,U06,T024,0,390,1188.41209814,1188.41209814,0,1.07390298374,0.731524254064,"[开始,可用)"
运输无人机,B,U06,T001,1189,1579,3111.69682505,3111.69682505,0,2.75225403445,0.311936491389,"[开始,可用)"
运输无人机,B,U06,T020,3464,3824,5484.42177624,5484.42177624,0,2.42382092705,0.394044768238,"[开始,可用)"
运输无人机,B,U06,T016,5485,5845,7241.69080514,7241.69080514,0,2.36122826958,0.409692932606,"[开始,可用)"
运输无人机,C,U07,T004,0,450,1907.48751527,1907.48751527,0,3.41040465139,0.573699418576,"[开始,可用)"
运输无人机,C,U07,T003,1908,2388,4015.80888985,4015.80888985,0,6.28076271291,0.214904660886,"[开始,可用)"
运输无人机,C,U07,T012,4016,4496,6451.9898223,6451.9898223,0,6.32332752831,0.209584058962,"[开始,可用)"
运输无人机,C,U08,T007,0,480,1561.4444768,1561.4444768,0,2.59730798673,0.675336501659,"[开始,可用)"
运输无人机,C,U08,T009,1562,2042,3056.15860144,3056.15860144,0,2.99565905984,0.62554261752,"[开始,可用)"
运输无人机,C,U08,T013,3099,3579,5400.0566857,5400.0566857,0,6.15287155637,0.230891055453,"[开始,可用)"
运输无人机,C,U08,T021,5401,5881,7278.19134017,7278.19134017,0,4.22215262199,0.472230922251,"[开始,可用)"
